Feature,Importance
vehicle_age,0.07856261
max_torque_60Nm@3500rpm,0.07113332
customer_age,0.062535375
region_code_C8,0.036868684
displacement,0.031331837
steering_type_Power,0.03101055
subscription_length,0.028428309
is_brake_assist,0.02615987
region_code_C18,0.025783975
segment_C1,0.0237567
region_code_C9,0.023180539
gross_weight,0.020878335
transmission_type_Manual,0.020482417
region_code_C5,0.019573074
region_code_C15,0.019324103
region_density,0.01931599
region_code_C13,0.01926203
region_code_C3,0.01877437
fuel_type_Diesel,0.017931823
width,0.017797953
is_parking_camera,0.017611142
is_front_fog_lights,0.016951034
fuel_type_Petrol,0.016676953
turning_radius,0.01620447
model_M6,0.014887842
is_parking_sensors,0.014330034
is_esc,0.014032847
airbags,0.014028929
region_code_C2,0.0138122095
ncap_rating,0.013256923
region_code_C11,0.012948473
is_adjustable_steering,0.012293847
is_day_night_rear_view_mirror,0.011726347
cylinder,0.011712067
region_code_C21,0.011465391
region_code_C17,0.011325156
max_power_88.50bhp@6000rpm,0.011189749
region_code_C6,0.010754557
model_M7,0.010219885
region_code_C12,0.010138
segment_B1,0.010072111
length,0.009682828
is_tpms,0.009523553
region_code_C16,0.009137313
region_code_C14,0.009034649
region_code_C10,0.008839015
region_code_C20,0.008702745
segment_B2,0.008170143
model_M2,0.00802453
is_driver_seat_height_adjustable,0.0077817994
region_code_C7,0.007277689
is_rear_window_defogger,0.007054656
region_code_C19,0.0064942706
model_M5,0.006286585
region_code_C4,0.006260439
engine_type_1.5 Turbocharged Revotron,0.0
max_power_61.68bhp@6000rpm,0.0
max_power_67.06bhp@5500rpm,0.0
max_power_88.77bhp@4000rpm,0.0
max_power_97.89bhp@3600rpm,0.0
engine_type_1.2 L K Series Engine,0.0
engine_type_1.2 L K12N Dualjet,0.0
engine_type_1.5 L U2 CRDi,0.0
engine_type_1.5 Turbocharged Revotorq,0.0
is_power_steering,0.0
engine_type_F8D Petrol Engine,0.0
max_power_40.36bhp@6000rpm,0.0
engine_type_G12B,0.0
engine_type_K Series Dual jet,0.0
engine_type_K10C,0.0
engine_type_i-DTEC,0.0
rear_brakes_type_Drum,0.0
is_speed_alert,0.0
steering_type_Manual,0.0
max_power_55.92bhp@5300rpm,0.0
max_torque_82.1Nm@3400rpm,0.0
max_power_118.36bhp@5500rpm,0.0
region_code_C22,0.0
is_power_door_locks,0.0
segment_C2,0.0
segment_Utility,0.0
model_M10,0.0
model_M11,0.0
model_M3,0.0
model_M4,0.0
model_M8,0.0
is_rear_window_washer,0.0
max_torque_91Nm@4250rpm,0.0
is_rear_window_wiper,0.0
max_torque_170Nm@4000rpm,0.0
max_torque_200Nm@1750rpm,0.0
max_torque_200Nm@3000rpm,0.0
max_torque_250Nm@2750rpm,0.0
is_ecw,0.0
is_central_locking,0.0
max_torque_85Nm@3000rpm,0.0
model_M9,0.0
